| 65   | Arcanine           |  0.92148% | 91584  |  2.954% | 74205  |  3.036% | 
| 66   | Sirfetch'd         |  0.89271% | 48743  |  1.572% | 38492  |  1.575% | 
| 67   | Heliolisk          |  0.87003% | 45484  |  1.467% | 34247  |  1.401% | 
| 68   | Clefairy           |  0.83226% | 4796   |  0.155% | 3645   |  0.149% | 
| 69   | Froslass           |  0.82104% | 9821   |  0.317% | 8379   |  0.343% | 
| 70   | Jellicent          |  0.77838% | 37397  |  1.206% | 30095  |  1.231% | 
| 71   | Weavile            |  0.71192% | 85494  |  2.758% | 63963  |  2.617% | 
| 72   | Whimsicott         |  0.66863% | 39146  |  1.263% | 31297  |  1.281% | 
| 73   | Rotom-Mow          |  0.66239% | 56311  |  1.816% | 45992  |  1.882% | 
| 74   | Sandaconda         |  0.56942% | 17458  |  0.563% | 14559  |  0.596% | 
| 75   | Weezing-Galar      |  0.55919% | 58524  |  1.888% | 47735  |  1.953% | 
| 76   | Ninetales          |  0.53953% | 34534  |  1.114% | 28240  |  1.156% | 
| 77   | Vikavolt           |  0.53526% | 39312  |  1.268% | 33275  |  1.362% | 
| 78   | Espeon             |  0.52719% | 60983  |  1.967% | 45726  |  1.871% | 
| 79   | Umbreon            |  0.49132% | 43902  |  1.416% | 32625  |  1.335% | 
| 80   | Barraskewda        |  0.49006% | 53056  |  1.711% | 38459  |  1.574% | 
| 81   | Dracozolt          |  0.47905% | 45678  |  1.473% | 34730  |  1.421% | 
| 82   | Flygon             |  0.42529% | 53042  |  1.711% | 41772  |  1.709% | 
| 83   | Araquanid          |  0.42085% | 40574  |  1.309% | 34707  |  1.420% | 
| 84   | Xatu               |  0.37584% | 29594  |  0.955% | 23000  |  0.941% | 
| 85   | Roserade           |  0.37039% | 29942  |  0.966% | 23183  |  0.949% | 
| 86   | Golisopod          |  0.35622% | 29453  |  0.950% | 23030  |  0.942% | 
| 87   | Indeedee           |  0.35388% | 17402  |  0.561% | 13886  |  0.568% | 
| 88   | Durant             |  0.34993% | 38992  |  1.258% | 30050  |  1.230% | 
| 89   | Gigalith           |  0.33666% | 19137  |  0.617% | 15803  |  0.647% | 
| 90   | Sableye            |  0.32167% | 20050  |  0.647% | 16023  |  0.656% | 
| 91   | Cobalion           |  0.31858% | 16852  |  0.544% | 13901  |  0.569% | 
| 92   | Galvantula         |  0.28186% | 52929  |  1.707% | 47067  |  1.926% | 
| 93   | Runerigus          |  0.27206% | 28471  |  0.918% | 24638  |  1.008% | 
| 94   | Sigilyph           |  0.27193% | 20736  |  0.669% | 15871  |  0.649% | 
| 95   | Steelix            |  0.26853% | 15810  |  0.510% | 13023  |  0.533% | 
| 96   | Corsola-Galar      |  0.25533% | 64223  |  2.072% | 50235  |  2.056% | 
| 97   | Slurpuff           |  0.25410% | 28494  |  0.919% | 20955  |  0.857% | 
| 98   | Lucario            |  0.24285% | 55422  |  1.788% | 40629  |  1.662% | 
| 99   | Haxorus            |  0.23869% | 63927  |  2.062% | 45845  |  1.876% | 
| 100  | Blastoise          |  0.23498% | 50514  |  1.629% | 37654  |  1.541% | 
| 101  | Polteageist        |  0.22208% | 51413  |  1.658% | 37210  |  1.523% | 
| 102  | Bronzong           |  0.20236% | 25317  |  0.817% | 21848  |  0.894% | 
| 103  | Milotic            |  0.19777% | 49007  |  1.581% | 37983  |  1.554% | 
| 104  | Decidueye          |  0.18341% | 15182  |  0.490% | 11467  |  0.469% | 
| 105  | Goodra             |  0.18145% | 45499  |  1.468% | 33833  |  1.384% | 
| 106  | Toxicroak          |  0.16662% | 29231  |  0.943% | 22021  |  0.901% | 
| 107  | Barbaracle         |  0.16297% | 12087  |  0.390% | 8385   |  0.343% | 
| 108  | Shedinja           |  0.15258% | 10280  |  0.332% | 6964   |  0.285% | 
| 109  | Stunfisk           |  0.14502% | 5211   |  0.168% | 4399   |  0.180% | 
| 110  | Accelgor           |  0.14065% | 20313  |  0.655% | 17266  |  0.706% | 
| 111  | Appletun           |  0.13683% | 15506  |  0.500% | 11475  |  0.470% | 
| 112  | Noivern            |  0.13636% | 27610  |  0.891% | 21130  |  0.865% | 
| 113  | Copperajah         |  0.12088% | 22241  |  0.717% | 18011  |  0.737% | 
| 114  | Arctozolt          |  0.11871% | 5436   |  0.175% | 3995   |  0.163% | 
| 115  | Rapidash           |  0.11718% | 4008   |  0.129% | 3101   |  0.127% | 
| 116  | Frosmoth           |  0.11201% | 21738  |  0.701% | 14736  |  0.603% | 
| 117  | Ludicolo           |  0.10942% | 23675  |  0.764% | 17967  |  0.735% | 
| 118  | Passimian          |  0.10612% | 3570   |  0.115% | 2748   |  0.112% | 
| 119  | Centiskorch        |  0.10300% | 37123  |  1.197% | 29064  |  1.189% | 
| 120  | Pangoro            |  0.10273% | 10001  |  0.323% | 7781   |  0.318% | 
| 121  | Gallade            |  0.09919% | 14595  |  0.471% | 10622  |  0.435% | 
| 122  | Raichu-Alola       |  0.09683% | 15729  |  0.507% | 11670  |  0.478% | 
| 123  | Duraludon          |  0.09644% | 25322  |  0.817% | 19291  |  0.789% | 
| 124  | Pincurchin         |  0.09462% | 20177  |  0.651% | 17902  |  0.733% | 
| 125  | Lapras             |  0.08924% | 22367  |  0.721% | 16910  |  0.692% | 
| 126  | Inteleon           |  0.08819% | 33006  |  1.065% | 23962  |  0.980% | 
| 127  | Braviary           |  0.08680% | 16706  |  0.539% | 12377  |  0.506% | 
| 128  | Machamp            |  0.08175% | 27833  |  0.898% | 22151  |  0.906% | 
| 129  | Claydol            |  0.08130% | 13027  |  0.420% | 10534  |  0.431% | 
| 130  | Rillaboom          |  0.07853% | 22392  |  0.722% | 17525  |  0.717% | 
| 131  | Orbeetle           |  0.07768% | 14109  |  0.455% | 11773  |  0.482% | 
| 132  | Shiftry            |  0.07660% | 14352  |  0.463% | 10593  |  0.433% | 
| 133  | Gourgeist-Super    |  0.07405% | 3151   |  0.102% | 2541   |  0.104% | 
| 134  | Vileplume          |  0.07105% | 11889  |  0.383% | 9324   |  0.382% | 
| 135  | Morpeko            |  0.07080% | 18082  |  0.583% | 14011  |  0.573% | 
| 136  | Tsareena           |  0.06815% | 19114  |  0.617% | 14810  |  0.606% | 
| 137  | Shiinotic          |  0.06736% | 8361   |  0.270% | 6502   |  0.266% | 
| 138  | Indeedee-F         |  0.06694% | 6859   |  0.221% | 5111   |  0.209% | 
| 139  | Silvally-Ghost     |  0.06653% | 1270   |  0.041% | 994    |  0.041% | 
| 140  | Drapion            |  0.06629% | 23264  |  0.750% | 18226  |  0.746% | 
| 141  | Rotom-Fan          |  0.06586% | 4956   |  0.160% | 4059   |  0.166% | 
| 142  | Pyukumuku          |  0.06495% | 13722  |  0.443% | 10517  |  0.430% | 
| 143  | Dugtrio            |  0.06327% | 20738  |  0.669% | 15692  |  0.642% | 
| 144  | Pikachu            |  0.05827% | 10096  |  0.326% | 7764   |  0.318% | 
| 145  | Vanilluxe          |  0.05342% | 8409   |  0.271% | 7047   |  0.288% | 
| 146  | Coalossal          |  0.05078% | 16211  |  0.523% | 13234  |  0.542% | 
| 147  | Lanturn            |  0.05058% | 8605   |  0.278% | 6899   |  0.282% | 
| 148  | Leafeon            |  0.04647% | 15388  |  0.496% | 11629  |  0.476% | 
| 149  | Avalugg            |  0.04452% | 17400  |  0.561% | 12764  |  0.522% | 
| 150  | Virizion           |  0.04392% | 17750  |  0.573% | 13389  |  0.548% | 
| 151  | Flapple            |  0.04329% | 10625  |  0.343% | 7814   |  0.320% | 
| 152  | Cinccino           |  0.04280% | 13064  |  0.421% | 9619   |  0.394% | 
| 153  | Dhelmise           |  0.04064% | 8830   |  0.285% | 6739   |  0.276% | 
| 154  | Silvally-Steel     |  0.04011% | 2472   |  0.080% | 2002   |  0.082% | 
| 155  | Drednaw            |  0.03984% | 10937  |  0.353% | 7920   |  0.324% | 
| 156  | Hitmonlee          |  0.03944% | 18374  |  0.593% | 13028  |  0.533% | 
| 157  | Mr. Rime           |  0.03809% | 7853   |  0.253% | 5561   |  0.228% | 
| 158  | Kingler            |  0.03772% | 7221   |  0.233% | 5195   |  0.213% | 
| 159  | Jolteon            |  0.03593% | 21724  |  0.701% | 16812  |  0.688% | 
| 160  | Drifblim           |  0.03579% | 7311   |  0.236% | 5492   |  0.225% | 
| 161  | Mudsdale           |  0.03547% | 10889  |  0.351% | 8688   |  0.355% | 
| 162  | Rapidash-Galar     |  0.03525% | 12093  |  0.390% | 8628   |  0.353% | 
| 163  | Meltan             |  0.03187% | 529    |  0.017% | 382    |  0.016% | 
| 164  | Maractus           |  0.03151% | 5548   |  0.179% | 4079   |  0.167% | 
| 165  | Cursola            |  0.03090% | 10407  |  0.336% | 7749   |  0.317% | 
| 166  | Cofagrigus         |  0.02759% | 10638  |  0.343% | 8701   |  0.356% | 
| 167  | Silvally-Fairy     |  0.02747% | 3603   |  0.116% | 2771   |  0.113% | 
| 168  | Golurk             |  0.02733% | 7555   |  0.244% | 5933   |  0.243% | 
| 169  | Dubwool            |  0.02677% | 10305  |  0.332% | 7614   |  0.312% | 
| 170  | Drampa             |  0.02631% | 8009   |  0.258% | 5896   |  0.241% | 
| 171  | Grapploct          |  0.02532% | 7397   |  0.239% | 5821   |  0.238% | 
| 172  | Dusclops           |  0.02508% | 14041  |  0.453% | 11309  |  0.463% | 
| 173  | Scrafty            |  0.02469% | 12087  |  0.390% | 9363   |  0.383% | 
| 174  | Hitmontop          |  0.02410% | 10736  |  0.346% | 8404   |  0.344% | 
| 175  | Sawk               |  0.02317% | 5650   |  0.182% | 4053   |  0.166% | 
| 176  | Mawile             |  0.02304% | 2818   |  0.091% | 2159   |  0.088% | 
| 177  | Octillery          |  0.02298% | 2322   |  0.075% | 1822   |  0.075% | 
| 178  | Eldegoss           |  0.02158% | 10279  |  0.332% | 8048   |  0.329% | 
| 179  | Rhydon             |  0.02048% | 6794   |  0.219% | 5409   |  0.221% | 
| 180  | Doublade           |  0.01870% | 8458   |  0.273% | 6364   |  0.260% | 
| 181  | Cramorant          |  0.01859% | 13106  |  0.423% | 10272  |  0.420% | 
| 182  | Abomasnow          |  0.01822% | 5890   |  0.190% | 4732   |  0.194% | 
| 183  | Beartic            |  0.01797% | 6290   |  0.203% | 4561   |  0.187% | 
